IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2003050106,6275.0,0,1,CASTILLA Y LEON,AVILA,EL BARCO DE AVILA,SOLANA DE Ã�VILA,40.33267,-5.645258,2003-08-03,4425,20490,4,Vandalismo,347,18,15,0,753719
2005490807,4650.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.217616,-6.736336,2005-10-01,14190,14970,4,Sin datos,33,4,9,41779,0
2009050152,4031.18,1,1,CASTILLA Y LEON,AVILA,ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,40.232547,-5.067824,2009-07-28,8409,40659,4,Sin datos,832,85,44,0,0
2005240664,3290.0,0,1,CASTILLA Y LEON,LEON,TRUCHAS,BENUZA,42.382877,-6.671312,2005-08-03,7420,9012,4,Sin datos,453,49,43,0,0
2005490795,3006.14,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.220545,-6.773729,2005-09-26,18850,21790,4,Provocados por pastores y ganaderos para regenerar el pasto,28,1,6,349,0
2003370098,2849.0,0,0,CASTILLA Y LEON,SALAMANCA,GUIJUELO,OTRA PROVINCIA,40.37167,-5.592903,2003-08-04,0,0,4,Vandalismo,32,4,1,0,3269788
2003370144,2401.93,0,1,CASTILLA Y LEON,SALAMANCA,ROBLEDA,AGALLAS,40.457541,-6.415577,2003-08-13,885,4725,4,Sin datos,177,18,14,0,5212583
2009240694,2301.3,0,0,CASTILLA Y LEON,LEON,VEGA DE ESPINAREDA,PERANZANES,42.871914,-6.613227,2009-09-10,7203,8059,4,Provocados por cazadores para facilitar la caza,234,11,20,0,0
2001370073,2146.0,0,1,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,BARRUECOPARDO,41.069892,-6.661902,2001-07-31,0,0,4,Sin datos,258,16,4,0,172475
2003370096,1804.37,0,0,CASTILLA Y LEON,SALAMANCA,LA ALBERCA,ESCURIAL DE LA SIERRA,40.614263,-5.956284,2003-08-03,470,3080,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),273,15,5,0,94927
2001490406,1460.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.159817,-6.844835,2001-12-16,3000,3900,4,Provocados por cazadores para facilitar la caza,33,0,1,0,0
2001370085,1450.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,BARRUECOPARDO,41.069892,-6.661902,2001-08-07,1680,3270,4,Sin datos,364,22,5,0,423419
2002490316,1418.23,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,PORTUGAL,41.822229,-6.543943,2002-08-16,1080,3780,4,Sin datos,153,21,22,0,1010768
2005370293,1280.35,0,0,CASTILLA Y LEON,SALAMANCA,LA ALBERCA,CILLEROS DE LA BASTIDA,40.528868,-5.98566,2005-06-18,361,7320,1,RAYO,430,22,9,0,2022571
